Age,Gender,University,Department,Academic Year,Current CGPA,Did you receive a waiver or scholarship at your university?,"In a semester, how often you felt nervous, anxious or on edge due to academic pressure?","In a semester, how often have you been unable to stop worrying about your academic affairs?","In a semester, how often have you had trouble relaxing due to academic pressure?","In a semester, how often have you been easily annoyed or irritated because of academic pressure?","In a semester, how often have you worried too much about academic affairs?","In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","In a semester, how often have you felt afraid, as if something awful might happen?",Anxiety Value,Anxiety Label,"In a semester, how often have you felt upset due to something that happened in your academic affairs?","In a semester, how often you felt as if you were unable to control important things in your academic affairs?","In a semester, how often you felt nervous and stressed because of academic pressure?","In a semester, how often you felt as if you could not cope with all the mandatory academic activities?","In a semester, how often you felt confident about your ability to handle your academic problems?","In a semester, how often you felt as if things in your academic life are going your way?","In a semester, how often are you able to control irritations in your academic affairs?","In a semester, how often you felt as if your academic performance was on top?","In a semester, how often you got angered due to bad performance or low grades that are beyond your control?","In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them?",Stress Value,Stress Label,"In a semester, how often have you had little interest or pleasure in doing things?","In a semester, how often have you been feeling down, depressed or hopeless?","In a semester, how often have you had trouble falling or staying asleep, or sleeping too much?","In a semester, how often have you been feeling tired or having little energy?","In a semester, how often have you had poor appetite or overeating?","In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down?","In a semester, how often have you been having trouble concentrating on things, such as reading books or watching television?","In a semester, how often have you moved or spoke too slowly for other people to notice?","In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself?",Depression Value,Depression Label,Scholarship,Cluster
20.0,1,NC State University,Business,2,3.53,Yes,2,1,0,1,0,2,1,7,Low,0,0,1,1,3,2,2,3,1,1,10,Low,1,0,1,0,1,2,1,0,0,6,Low,1,2
22.0,1,Duke University,Engineering,1,3.91,No,0,1,0,0,0,0,0,1,Low,0,0,0,0,4,3,4,3,0,1,3,Low,0,0,0,1,0,0,0,0,0,1,Low,0,1
21.0,0,UNC Chapel Hill,Computer Science,4,2.45,No,2,2,3,4,3,3,3,20,Medium,3,3,4,2,0,2,1,3,4,4,30,Medium,2,2,2,3,4,4,3,2,3,25,Medium,0,3
21.0,1,UNC Chapel Hill,Engineering,1,2.88,Yes,2,1,2,2,0,1,2,10,Low,1,2,2,3,4,2,2,2,2,1,17,Low,1,2,2,1,2,1,3,1,1,14,Low,1,2
19.0,1,UNC Chapel Hill,Engineering,2,3.79,No,0,0,0,0,0,0,0,0,Low,1,0,0,1,3,3,4,4,1,0,5,Low,1,0,0,0,1,0,0,0,0,2,Low,0,1
19.0,0,UNC Chapel Hill,Engineering,4,3.85,No,0,0,0,0,0,0,0,0,Low,0,0,0,0,3,3,4,4,0,2,4,Low,0,0,0,0,0,1,0,2,0,3,Low,0,3
19.0,1,UNC Chapel Hill,Business,2,3.02,No,1,2,1,2,2,1,3,12,Low,1,1,2,0,3,2,3,4,2,4,14,Low,2,3,1,1,2,0,2,2,2,15,Low,0,1
22.0,1,UNC Chapel Hill,Business,4,3.85,No,0,0,0,0,1,0,0,1,Low,0,0,0,2,3,4,3,4,0,0,4,Low,0,0,0,0,0,0,1,0,1,2,Low,0,1
21.0,1,NC State University,Business,1,3.15,No,1,2,1,1,1,2,2,10,Low,0,3,0,3,4,4,3,1,2,0,12,Low,2,1,1,2,3,2,1,0,2,14,Low,0,1
21.0,1,Duke University,Psychology,2,3.45,Yes,1,1,0,2,0,1,0,5,Low,0,0,0,1,4,4,4,3,1,1,4,Low,0,1,0,0,2,1,3,0,0,7,Low,1,2
